document_id,gold_entities,predicted_entities,tp,fp,fn,precision,recall,exact_span_f1
AH_CV_5598e665,9,29,2,27,7,0.069,0.2222,0.1053
A_Mitesh_CV_88e32579,28,40,5,35,23,0.125,0.1786,0.1471
Afzal_Beg_Resume_fa289535,6,9,2,7,4,0.2222,0.3333,0.2667
Anibrata_Pal_Resume_c35c7b6c,7,6,5,1,2,0.8333,0.7143,0.7692
BResume_Summary2023_jul24_352779e9,5,20,4,16,1,0.2,0.8,0.32
CV_Amit_Parikh_2_64398e27,32,26,3,23,29,0.1154,0.0938,0.1034
CV_Anurag_Choudhary_15b316ad,16,34,5,29,11,0.1471,0.3125,0.2
CV_Arghya_Maity_3f200851,12,10,5,5,7,0.5,0.4167,0.4545
CV_CSE_ASHISH_SONI_c0c1d28d,7,21,4,17,3,0.1905,0.5714,0.2857
CV_Chandan_f5f89208,11,24,5,19,6,0.2083,0.4545,0.2857
